d,trt,plant,date
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-476-J036-LN_2022-07-27_12-40-42.076_8893800,LN,J036,2022-07-27
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-470-J030-LN_2022-06-24_09-45-37.514_8090400,LN,J030,2022-06-24
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-07-01_08-38-19.631_8164800,HN,J006,2022-07-01
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-438-J014-LN_2022-05-12_12-04-42.392_7093700,LN,J014,2022-05-12
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-447-J023-HN_2022-07-15_12-33-39.092_8495400,HN,J023,2022-07-15
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-468-J028-LN_2022-06-08_14-57-49.037_7876100,LN,J028,2022-06-08
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-441-J017-HN_2022-05-26_11-35-21.467_7548700,HN,J017,2022-05-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-441-J017-HN_2022-04-30_15-05-38.713_6637500,HN,J017,2022-04-30
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-444-J020-LN_2022-06-23_08-44-29.091_8076600,LN,J020,2022-06-23
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-469-J029-LN_2022-07-05_14-07-16.031_8247800,LN,J029,2022-07-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-07-01_08-24-34.150_8164300,LN,J001,2022-07-01
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-04-30_14-08-28.118_6635800,LN,J001,2022-04-30
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-08-04_06-10-55.513_9186800,LN,J001,2022-08-04
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-431-J008-LN_2022-04-28_13-28-32.199_6562600,LN,J008,2022-04-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-437-J013-HN_2022-06-21_09-09-51.732_8050700,HN,J013,2022-06-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-444-J020-LN_2022-04-26_15-30-36.280_6483900,LN,J020,2022-04-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-427-J004-LN_2022-07-03_08-42-47.747_8205800,LN,J004,2022-07-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-475-J035-HN_2022-04-23_15-16-04.012_6366700,HN,J035,2022-04-23
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-471-J031-HN_2022-05-17_12-25-45.558_7269700,HN,J031,2022-05-17
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-432-J009-LN_2022-05-28_09-33-13.663_7593600,LN,J009,2022-05-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-426-J003-HN_2022-04-21_13-43-27.922_6280800,HN,J003,2022-04-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-444-J020-LN_2022-05-07_13-08-13.814_6910800,LN,J020,2022-05-07
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-441-J017-HN_2022-04-28_13-50-42.136_6563600,HN,J017,2022-04-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-437-J013-HN_2022-07-05_12-33-16.651_8244600,HN,J013,2022-07-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-425-J002-HN_2022-05-24_11-05-11.570_7481300,HN,J002,2022-05-24
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-434-J011-HN_2022-06-29_12-38-13.328_8130500,HN,J011,2022-06-29
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-476-J036-LN_2022-05-19_12-19-01.804_7332900,LN,J036,2022-05-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-442-J018-HN_2022-07-13_13-59-40.206_8433200,HN,J018,2022-07-13
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-04-26_14-51-09.932_6481900,LN,J001,2022-04-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-434-J011-HN_2022-07-10_21-40-15.644_8365800,HN,J011,2022-07-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-467-J027-HN_2022-06-08_14-56-30.463_7876000,HN,J027,2022-06-08
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-430-J007-LN_2022-05-19_10-54-13.347_7328300,LN,J007,2022-05-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-442-J018-HN_2022-04-28_13-52-54.910_6563700,HN,J018,2022-04-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-475-J035-HN_2022-07-27_12-38-48.984_8893700,HN,J035,2022-07-27
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-441-J017-HN_2022-05-10_13-10-35.308_7024500,HN,J017,2022-05-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-475-J035-HN_2022-07-21_12-57-50.538_8680100,HN,J035,2022-07-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-07-19_11-28-57.892_8608800,HN,J006,2022-07-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-473-J033-HN_2022-04-30_16-02-40.854_6640700,HN,J033,2022-04-30
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-431-J008-LN_2022-05-31_14-21-18.120_7699600,LN,J008,2022-05-31
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-07-05_11-55-32.790_8243300,LN,J001,2022-07-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-444-J020-LN_2022-06-24_08-41-56.107_8087800,LN,J020,2022-06-24
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-471-J031-HN_2022-07-09_12-15-47.355_8337500,HN,J031,2022-07-09
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-433-J010-HN_2022-07-29_06-35-13.608_8961700,HN,J010,2022-07-29
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-427-J004-LN_2022-06-24_07-57-47.708_8086100,LN,J004,2022-06-24
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-426-J003-HN_2022-06-22_07-55-42.179_8063600,HN,J003,2022-06-22
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-06-29_14-56-11.982_8133600,HN,J006,2022-06-29
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-438-J014-LN_2022-06-22_08-32-01.010_8064800,LN,J014,2022-06-22
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-473-J033-HN_2022-06-03_14-34-58.393_7793900,HN,J033,2022-06-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-425-J002-HN_2022-06-14_10-39-45.635_7972300,HN,J002,2022-06-14
